alkohol;opis;aromat;smak;finisz;zdjecie;rodzina;historia;czy wyœwietlaæ
Aberlour 12;Dojrzewa 12 lat w beczkach po burbonie i po sherry oloroso. Nastêpnie whisky jest ze sob¹ mieszana w proporcjach 1 do 1.;bogaty i zbalansowany, gruszki, jab³ka, suszone œliwki, orzechy w³oskie, wióry dêbowe i oddech ziemi po deszczu.;gorzka czekolada, cynamon, imbir, nuty sherry.;rozgrzewaj¹cy, pocz¹tkowo s³odki, po chwili pikantny z nutami miêty.;aberlour12.jpg;Aberlour;0;1
Aberlour 16;Dojrzewa w dwóch rodzajach beczek: po bourbonie oraz po sherry Oloroso. Beczka po bourbonie nadaje whisky s³odki, waniliowy smak, zaœ Oloroso nuty korzenne i owocowe. Kiedy destylaty z obydwu beczek osi¹gn¹ po¿¹dany wiek, zostaj¹ ze sob¹ wymieszane, dziêki czemu uzyskiwana whisky zyskuje bogatszy smak i aromat.;przyjemna, lotna, ale nie ostra, potê¿ne suszone owoce, œliwki, morele, czekolada.;œrednio oleista i delikatna;s³odka, czekolada mleczna, orzechy, lekko pieprzna;aberlour16.jpg;Aberlour;0;1
Aberlour 18;Dojrzewa w dwóch rodzajach beczek: po bourbonie 70% oraz po sherry Oloroso 30%. Beczka po bourbonie nadaje whisky s³odki, waniliowy smak, zaœ Oloroso nuty korzenne i owocowe. Kiedy destylaty z obydwu beczek osi¹gn¹ po¿¹dany wiek, zostaj¹ ze sob¹ wymieszane, dziêki czemu uzyskiwana whisky zyskuje bogatszy smak i aromat. Podstawowym za³o¿eniem destylarni jest to aby w ich whisky dominowa³a nuta jab³ka i czarnej porzeczki, zaœ smak zbo¿a powinien zostaæ zneutralizowany. 18 lat w beczkach po bourbonie i po sherry Oloroso nada zdecydowanie innej s³odyczy ni¿ uraczyæ mo¿emy w m³odszych edycjach. Aberlour 18 YO jest jedwabisty i maœlany w smaku, ale i dêbinowy. Podniebienia koneserów na pewno pozytywnie przyjm¹ t¹ whisky.;bogaty i pe³ny, mleczna czekolada, toffi, brzoskwinie, gorzkie pomarañcze, nuty sherry i dêbu.;bogaty i zrównowa¿any, soczyste morele, cynamon, ga³ka muszkato³owa, œlady dêbu i wytrawionej skóry.;niezwykle d³ugi, creme brul?e i w koñcówce dêbowa goryczka.;aberlour18.jpg;Aberlour;0;1
Aberlour A’bunadh;A'Bunadh (z gaelickiego “pochodzenie”) to whisky z destylarnia Aberlour, próbuj¹ca oddaæ charakter whisky z koñca XIX wieku. Wi¹¿e siê z ni¹ ciekawa historia. Ponoæ podczas remontu destylarnii w 1975 roku, znaleziono kapsu³ê czasu zamurowan¹ za tabliczk¹ z nazw¹ destylarni. Sk³ada³a siê ona z butelki whisky z 1898 roku, zawiniêt¹ w gazetê z tego¿ samego roku z artyku³em o po¿arze w destylarnii. Bytelka zosta³a w czterech pi¹tych skonsumowana podczas przerwy œniadaniowej przez robotników, reszta zaœ zosta³a wys³ana na badania w laboratorium. A'Bunadh jest w³aœnie wzorowana na tym znalezisku. Cask Strength sk³adaj¹cy siê z destylatów, dojrzewaj¹cych w beczkach po sherry oloroso, o wieku od piêciu do dwudziestu piêciu lat.;kremowa, s³odka i czekoladowa, podszyta znamiennymi dla Aberlour suszonymi owocami.;oleista i delikatna;dobrze wywa¿ona, odrobina melasa, wyraŸny wp³yw sherry, szybko zdobywa ca³y jêzyk i trwa na nim d³ugim czekoladowym finiszem i rodzynkow¹ s³odycz¹. Mocno rozgrzewaj¹ca co w mocy ponad 60% ABV nie jest ¿adnym zaskoczeniem.;aberlour_abunadh.jpg;Aberlour;0;1
Aberlour A’bunadh Alba;W odró¿nieniu od klasycznej wersji Aberlour A’Bunadh wprowadzonej w 2019 roku edycja Alba le¿akowa³a w zdecydowanej wiêkszoœci w wyselekcjonowanych beczkach po bourbonie 100% z 1-go nape³nienia , a w niewielkim tylko stopniu w typowych dla marki beczkach po sherry oloroso. Do s³odowania wykorzystano lokalny jêczmieñ ze Speyside. Butelkowana z moc¹ beczek, ka¿dy batch z inna moc¹. Niefiltrowana na zimno dziêki czemu zachowuje ca³e aromatyczne bogactwo i pe³niejszy smak o charakterystycznej, lekko kremowej teksturze.;s³odkie owoce sadu – œwie¿e, zielone jab³ka i soczyste gruszki, uzupe³nione delikatnymi akordami lawendowego miodu, g³adkiego kremu waniliowego i orzeŸwiaj¹cego sorbetu cytrynowego.;pikantnie cytrusowy pocz¹tek, przechodz¹cy w bogaty akcent maœlanych ciasteczek i pieczonych jab³ek, który ustêpuje s³odkim migda³om w cukrze.;g³adki i s³odki, z nut¹ pra¿onych migda³ów.;aberlour_abunadh_alba.jpg;Aberlour;0;1
Absolut;Klasyczna odmiana wódki Absolut;0;wyrazisty, pe³ny i wielowymiarowy, a jednoczeœnie g³adki i aksamitny, z wyrazist¹ nut¹ ziarna i wyczuwalnym na zakoñczenie akcentem suszonych owoców.;0;absolut.jpg;Absolut;0;1
Absolut Pears;Produkowana wy³¹cznie na bazie naturalnych sk³adników i w odró¿nieniu od innych wódek smakowych w ogóle nie zawiera cukru. Absolut Pears smakuje jak œwie¿e, delikatne, dojrza³e gruszki z d³ugim owocowym posmakiem na zakoñczenie.;0;0;0;absolut_pears.jpg;Absolut;0;1
Absolut Elyx;Jest rêcznie destylowana w miedzianej kadzi z 1921 roku, obs³ugiwanej przez wyselekcjonowan¹ grupê rzemieœlników, spadkobierców wiedzy i ekspertyzy przekazanej przez ca³e pokolenia wytwórców szwedzkiej wódki. Dziêki niezwyk³ym w³aœciwoœciom miedzi, z której wykonano nasz¹ kadŸ, powstaje naturalnie oczyszczona wódka o wysoko cenionej jedwabistej konsystencji i smaku.;Czysty, bogaty i pe³ny zapach œwie¿ego chleba z nut¹ bia³ej czekolady i zbo¿a z delikatnym pikantnym akcentem.;Pe³na i jedwabista z posmakiem orzechów makadamii, zbo¿a z nut¹ bia³ej maœlanej czekolady i œwie¿o upieczonego chleba. Lekka nuta œwie¿ych orzechów z odrobin¹ pikantnych zió³ i doskonale wywa¿ony pe³ny smak.;Delikatny pikantny smak ze œwie¿ym orzechowym akcentem i œwietnie wywa¿onym g³adkim finiszem.;absolut_elyx.jpg;Absolut;0;1
Absolut Extrakt;Wyrazisty i przepyszny, ³¹cz¹cy w sobie jedyn¹ w swoim rodzaju wódkê Absolut z ciep³ym, pikantnym smakiem zielonego kardamonu. Jest on ukoronowaniem szwedzkiej historii, stanowi¹c nowoczesne wydanie tradycyjnego szwedzkiego sznapsa.;0;0;0;absolut_extrakt.jpg;Absolut;0;1
Amaretto;Ciemnobr¹zowy w³oski likier o gorzkim smaku i zapachu migda³ów. Kompozycja zawiera winogrona, migda³y orzechy (lub nasion moreli), wanilia, przyprawy i zio³a. Tradycyjny obszar produkcji - miasto Saronno, po³o¿ony w prowincji Lombardii.;0;0;0;amaretto.jpg;Amaretto;0;1
Amaro Averna;Averna powstaje z olejków eterycznych cytryny i pomarañczy, granatu, które dodawane s¹ do alkoholu bazowego. Po d³ugotrwa³ej maceracji dodawany jest karmel. G³êboki rdzawy br¹z. Nuty coli, skórki pomarañczowej, lukrecji i wanilii. S³odki z delikatn¹ i subteln¹ goryczk¹. Jest kwaœniejsza od Amaro Lucano.;0;0;0;averna.jpg;Amaro;Averna to w³oski likier z rodziny bitterów (gorzkawy, zio³owy likier) pochodz¹cy z Caltanissetty na Sycylii. Nazwa trunku pochodzi od Salvatore Averna, który w 1868 roku zacz¹³ wytwarzaæ likier o w³aœciwoœciach terapeutycznych i tonizuj¹cych. Jego receptura pochodzi od mnichów z Zakonu Cystersów i zosta³a przekazana Salvatore w podziêkowaniu za hojne darowizny na rzecz opactwa.;1
